iter	RMSE
0	1795.887092
1	1757.933337
2	1724.848549
3	1696.118792
4	1667.185684
5	1643.406537
6	1622.006225
7	1604.525411
8	1587.098235
9	1571.755052
10	1558.467733
11	1547.81987
12	1536.905624
13	1529.443832
14	1521.2962
15	1512.985873
16	1504.162904
17	1497.82234
18	1492.022245
19	1486.2349
20	1479.507675
21	1474.971404
22	1470.128813
23	1464.748087
24	1460.227593
25	1456.815821
26	1453.411508
27	1449.750635
28	1446.006499
29	1441.745204
30	1439.8242
31	1437.750284
32	1431.853059
33	1429.533117
34	1426.673037
35	1423.293603
36	1420.982708
37	1418.57485
38	1416.06092
39	1412.488185
40	1409.519135
41	1406.90293
42	1405.67389
43	1402.271215
44	1399.127865
45	1396.743621
46	1393.444041
47	1390.824732
48	1388.869957
49	1385.962193
50	1384.45706
51	1383.263527
52	1381.616196
53	1379.227902
54	1377.133755
55	1374.950735
56	1372.738286
57	1370.353844
58	1369.19225
59	1366.911101
60	1362.821254
61	1361.824589
62	1359.878486
63	1355.699011
64	1353.748901
65	1351.901132
66	1350.198507
67	1345.573445
68	1343.619748
69	1341.41525
70	1339.861291
71	1338.629715
72	1335.559947
73	1333.129583
74	1331.192874
75	1328.724946
76	1326.894529
77	1324.386174
78	1322.434586
79	1318.664323
80	1317.131975
81	1315.685817
82	1315.098329
83	1314.144968
84	1312.753622
85	1311.550052
86	1309.87069
87	1308.032985
88	1306.360769
89	1303.975078
90	1302.915879
91	1301.008567
92	1299.523096
93	1297.168424
94	1294.481946
95	1292.847027
96	1289.990069
97	1288.538487
98	1286.58136
99	1286.091443
100	1284.064727
101	1283.501636
102	1281.221963
103	1280.506074
104	1279.734564
105	1278.162169
106	1276.262505
107	1273.482859
108	1272.159047
109	1271.377891
110	1270.095731
111	1268.242788
112	1266.906799
113	1265.164363
114	1263.197873
115	1262.3471
116	1259.730623
117	1255.255204
118	1253.073128
119	1250.112326
120	1247.935562
121	1246.007155
122	1244.662051
123	1241.781209
124	1241.104649
125	1239.178485
126	1237.917377
127	1235.944429
128	1233.974736
129	1231.834893
130	1230.378988
131	1228.762234
132	1226.524271
133	1225.273609
134	1222.818816
135	1221.450485
136	1219.447066
137	1216.919722
138	1213.832097
139	1212.163445
140	1210.959153
141	1209.261038
142	1205.800105
143	1204.648733
144	1201.117485
145	1197.858891
146	1195.055829
147	1193.293942
148	1191.45016
149	1189.060782
150	1186.956958
151	1185.356157
152	1183.052333
153	1181.218465
154	1178.64732
155	1177.678993
156	1176.312256
157	1175.478997
158	1174.036685
159	1172.861522
160	1170.3582
161	1168.592485
162	1166.401076
163	1164.611902
164	1163.454185
165	1161.662945
166	1160.472798
167	1158.586339
