iter	Passed	Remaining
0	24	12285
1	96	24015
2	116	19379
3	168	20921
4	186	18492
5	205	16933
6	226	15919
7	317	19525
8	337	18427
9	359	17604
10	374	16631
11	440	17911
12	462	17333
13	492	17087
14	511	16554
15	527	15951
16	544	15472
17	560	15022
18	616	15612
19	637	15295
20	689	15716
21	709	15406
22	725	15052
23	741	14713
24	757	14394
25	803	14650
26	877	15372
27	896	15120
28	911	14807
29	927	14536
30	947	14339
31	1033	15121
32	1055	14942
33	1079	14794
34	1094	14542
35	1110	14315
36	1156	14467
37	1202	14625
38	1221	14436
39	1236	14224
40	1252	14026
41	1357	14799
42	1385	14724
43	1405	14564
44	1421	14369
45	1437	14189
46	1457	14046
47	1559	14688
48	1580	14546
49	1600	14403
50	1614	14218
51	1628	14033
52	1677	14147
53	1736	14344
54	1757	14217
55	1777	14092
56	1795	13952
57	1813	13821
58	1835	13719
59	1927	14133
60	1947	14017
61	1967	13900
62	1987	13783
63	2066	14075
64	2093	14011
65	2131	14014
66	2151	13901
67	2165	13759
68	2266	14157
69	2289	14062
70	2309	13953
71	2328	13839
72	2344	13715
73	2368	13635
74	2452	13898
75	2480	13838
76	2501	13743
77	2518	13624
78	2582	13765
79	2603	13668
80	2632	13617
81	2654	13531
82	2671	13422
83	2686	13305
84	2704	13204
85	2819	13574
86	2840	13485
87	2854	13366
88	2870	13254
89	2890	13167
90	2960	13305
91	2986	13245
92	3013	13188
93	3031	13092
94	3089	13171
95	3145	13236
96	3163	13144
97	3184	13063
98	3204	12978
99	3300	13200
100	3390	13394
101	3406	13293
102	3453	13312
103	3513	13379
104	3532	13290
105	3555	13216
106	3577	13138
107	3615	13121
108	3640	13057
109	3725	13207
110	3746	13129
111	3768	13054
112	3816	13071
113	3836	12989
114	3899	13054
115	3921	12980
116	3954	12944
117	3971	12856
118	3980	12743
119	4001	12669
120	4109	12870
121	4136	12815
122	4152	12726
123	4173	12653
124	4193	12580
125	4302	12769
126	4323	12697
127	4341	12618
128	4425	12728
129	4458	12688
130	4480	12621
131	4498	12541
132	4513	12453
133	4528	12368
134	4552	12309
135	4641	12422
136	4727	12526
137	4753	12469
138	4841	12573
139	4863	12506
140	4884	12436
141	4982	12561
142	5004	12494
143	5022	12416
144	5041	12342
145	5057	12262
146	5097	12240
147	5150	12248
148	5171	12182
149	5189	12109
150	5296	12241
151	5327	12196
152	5350	12135
153	5363	12050
154	5378	11971
155	5479	12083
156	5514	12046
157	5535	11981
158	5555	11914
159	5598	11897
160	5621	11836
161	5686	11865
162	5711	11808
163	5735	11751
164	5787	11750
165	5808	11686
166	5831	11628
167	5885	11631
168	5935	11625
169	6033	11711
170	6062	11663
171	6081	11596
172	6094	11518
173	6117	11461
174	6139	11401
175	6214	11440
176	6235	11378
177	6257	11319
178	6270	11245
179	6284	11172
180	6386	11255
181	6406	11193
182	6428	11135
183	6457	11089
184	6479	11032
185	6571	11093
186	6591	11033
187	6608	10967
188	6626	10904
189	6721	10966
190	6756	10930
191	6779	10875
192	6796	10811
193	6810	10742
194	6831	10685
195	6853	10630
196	6927	10654
197	6947	10596
198	6964	10534
199	6982	10473
200	7049	10486
201	7074	10436
202	7095	10381
203	7112	10319
204	7127	10256
205	7140	10190
206	7260	10277
207	7279	10219
208	7298	10162
209	7313	10099
210	7333	10044
211	7406	10061
212	7428	10008
213	7450	9956
